area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
1200ft2,3,2019-03-30 2:20,"(43.641638, -79.380944)",TRUE,TRUE,6853815874,Spacious 3+ Den In The Heart Of Downtown Toronto,"$4,500",,https://toronto.craigslist.org/tor/apa/d/toronto-spacious-3-den-in-the-heart-of/6853815874.html,12 York St
,2,2019-03-30 2:13,"(43.658366, -79.422892)",TRUE,TRUE,6853814805,"Harbord and Ossington, bright 2 Bdrm","$2,475",,https://toronto.craigslist.org/tor/apa/d/toronto-harbord-and-ossington-bright-2/6853814805.html,
900ft2,2,2019-03-30 2:12,"(43.620375, -79.500089)",TRUE,TRUE,6853814577,"2br+1, 2nd Floor Will Be Available May 1st, Great Deal!!","$1,760",,https://toronto.craigslist.org/tor/apa/d/etobicoke-2br1-2nd-floor-will-be/6853814577.html,424 Royal York Rd
,3,2019-03-30 1:50,"(43.80369, -79.379441)",TRUE,TRUE,6853810984,Beautiful house for rent on Steeles & Leslie!!! (3 options),$0,,https://toronto.craigslist.org/tor/apa/d/north-york-beautiful-house-for-rent-on/6853810984.html,"353 Goldenwood Rd, North York, ON."
579ft2,1,2019-03-30 1:32,"(43.642116, -79.381129)",TRUE,TRUE,6853807899,Ice Condos- 1 Bedroom Condo In The Heart Of Downtown Toronto,"$2,250",,https://toronto.craigslist.org/tor/apa/d/toronto-ice-condos-1-bedroom-condo-in/6853807899.html,14 York St
1300ft2,1,2019-03-30 0:50,"(43.675602, -79.403602)",TRUE,TRUE,6846918439,Spectacular Executive Rental Opportunity - All Inclusive!,"$4,500",,https://toronto.craigslist.org/tor/apa/d/toronto-spectacular-executive-rental/6846918439.html,322 St George St
1100ft2,2,2019-03-30 0:50,"(43.662535, -79.411484)",TRUE,TRUE,6846925539,Luxurious Executive Style Rental in Little Italy,"$3,450",,https://toronto.craigslist.org/tor/apa/d/toronto-luxurious-executive-style/6846925539.html,565 Markham St
2000ft2,4,2019-03-30 0:50,"(43.666638, -79.446406)",TRUE,TRUE,6846987481,All inclusive Executive Rental,"$5,000",,https://toronto.craigslist.org/tor/apa/d/toronto-all-inclusive-executive-rental/6846987481.html,961 Lansdowne Ave
1149ft2,2,2019-03-30 0:50,"(43.666748, -79.446449)",TRUE,TRUE,6847014359,Great Opportunity to Live at the Foundry Lofts,"$3,000",,https://toronto.craigslist.org/tor/apa/d/toronto-great-opportunity-to-live-at/6847014359.html,1100 Lansdowne Ave
600ft2,1,2019-03-30 0:50,"(43.641057, -79.414825)",TRUE,TRUE,6847029246,Fantastic King West Condo Unit!,"$2,100",,https://toronto.craigslist.org/tor/apa/d/toronto-fantastic-king-west-condo-unit/6847029246.html,1 shaw st
1043ft2,1,2019-03-30 0:50,"(43.654125, -79.424048)",TRUE,TRUE,6846905864,Stunning Apartment in Little Italy!,"$2,700",,https://toronto.craigslist.org/tor/apa/d/toronto-stunning-apartment-in-little/6846905864.html,866 college st
799ft2,1,2019-03-30 0:50,"(43.641062, -79.416332)",TRUE,TRUE,6841519129,2 storey King West Corner Loft! Incl Parking & Utilities!,"$2,350",,https://toronto.craigslist.org/tor/apa/d/toronto-2-storey-king-west-corner-loft/6841519129.html,1029 King St W
861ft2,2,2019-03-30 0:49,"(43.641693, -79.421688)",TRUE,TRUE,6834150939,Fabulous Penthouse in Queen West,"$3,300",,https://toronto.craigslist.org/tor/apa/d/west-toronto-fabulous-penthouse-in/6834150939.html,8 Dovercourt Rd
,3,2019-03-30 0:49,"(43.647359, -79.421952)",TRUE,TRUE,6845094535,Stunning Home in Trinity Bellwoods,"$5,500",,https://toronto.craigslist.org/tor/apa/d/toronto-stunning-home-in-trinity/6845094535.html,61 Foxley St
980ft2,2,2019-03-29 23:58,"(43.668337, -79.317641)",TRUE,TRUE,6853784306,2Bed 2Bath Townhouse Condo for Rent JUNE 1,"$2,500",,https://toronto.craigslist.org/tor/apa/d/toronto-2bed-2bath-townhouse-condo-for/6853784306.html,Coxwell & Dundas
,2,2019-03-29 23:46,"(43.682678, -79.464428)",TRUE,TRUE,6847755445,2bed apartment with util incl backyard and private laundry parking ava,"$1,425",,https://toronto.craigslist.org/tor/apa/d/york-2bed-apartment-with-util-incl/6847755445.html,rogers and caledonia rd
700ft2,1,2019-03-29 23:46,"(43.673009, -79.454652)",TRUE,TRUE,6839815411,1BED UNIT WITH util incl just $1500 8ft ceilling ac/ close to junction,"$1,500",,https://toronto.craigslist.org/tor/apa/d/toronto-1bed-unit-with-util-incl-just/6839815411.html,caledonia and davenport
600ft2,1,2019-03-29 23:31,"(43.649201, -79.377838)",TRUE,TRUE,6840966830,Best price all inclusive furnished Downtown 1 bedroom,"$2,100",,https://toronto.craigslist.org/tor/apa/d/toronto-best-price-all-inclusive/6840966830.html,1 King Street West
,3,2019-03-29 23:30,"(43.699539, -79.44009)",TRUE,TRUE,6853774928,FULLY HOUSE RECENT RENOS NICE BACKYARD PARKING INCLUDED!,"$2,690",,https://toronto.craigslist.org/tor/apa/d/york-fully-house-recent-renos-nice/6853774928.html,42 Belgravia Ave
,2,2019-03-29 23:25,"(43.628204, -79.478681)",TRUE,TRUE,6853772921,WATERFRONT PARKING/LOCKER INCLUDED OVER 700SQFT!,"$2,400",,https://toronto.craigslist.org/tor/apa/d/etobicoke-waterfront-parking-locker/6853772921.html,60 Annie Craig Dr
,3,2019-03-29 23:21,"(43.6329, -79.3611)",TRUE,TRUE,6853771600,ENTERTAINMENT DISTRICT PARKING/LOCKER INCLUDED OVER 900SQFT!,"$4,250",,https://toronto.craigslist.org/tor/apa/d/toronto-entertainment-district-parking/6853771600.html,14 York St
,1,2019-03-29 23:16,"(43.627005, -79.478359)",TRUE,TRUE,6853769848,WATERFRONT PARKING/LOCKER INCLUDED MASSIVE BALCONY!,"$2,100",,https://toronto.craigslist.org/tor/apa/d/etobicoke-waterfront-parking-locker/6853769848.html,16 Brookers Lane
600ft2,1,2019-03-29 23:13,"(43.651246, -79.379182)",TRUE,TRUE,6834548801,Best price all inclusive furnished Downtown 1 bedroom,"$2,075",,https://toronto.craigslist.org/tor/apa/d/north-york-best-price-all-inclusive/6834548801.html,1 King Street West
410ft2,1,2019-03-29 23:13,"(43.649167, -79.377989)",TRUE,TRUE,6835154838,Bargain Price Downtown Furnished Executive Studio suite,"$1,800",6452812310,https://toronto.craigslist.org/tor/apa/d/toronto-bargain-price-downtown/6835154838.html,1 King Street West
,1,2019-03-29 23:12,"(43.641626, -79.383389)",TRUE,TRUE,6853768202,entertainment district utilities included fully furnished + den!,"$2,500",,https://toronto.craigslist.org/tor/apa/d/toronto-entertainment-district/6853768202.html,19 Grand Trunk Cres
650ft2,1,2019-03-29 23:11,"(43.652774, -79.370953)",TRUE,TRUE,6853768010,"SPACE Lofts - 1 Bedroom with Parking; Available July 1, 2019","$2,100",6411599293,https://toronto.craigslist.org/tor/apa/d/toronto-space-lofts-1-bedroom-with/6853768010.html,255 Richmond Street East
,3,2019-03-29 23:06,"(43.751274, -79.438591)",TRUE,TRUE,6853766171,SPACIOUS MODERN HOME BACKYARD DETACHED GARAGE HARDWOOD FLOORS!,"$2,500",,https://toronto.craigslist.org/tor/apa/d/north-york-spacious-modern-home/6853766171.html,24 Verwood Ave Main
