area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
,3,2019-04-07 20:04,"(43.777382, -79.358279)",True,True,6860732841,3 Bedrooms 2 Baths House in Sheppard and Leslie Area,$2400,,https://toronto.craigslist.org/tor/reo/d/north-york-3-bedrooms-2-baths-house-in/6860732841.html,Toronto
2400ft2,2,2019-04-07 19:19,"(43.896827, -79.249294)",True,True,6860702926,Absolute Stunning Bungaloft In The Gated Community Of Swan Lake,$1078800,,https://toronto.craigslist.org/tor/reb/d/markham-absolute-stunning-bungaloft-in/6860702926.html,51 Sanctuary Way
1100ft2,2,2019-04-07 19:11,"(43.878297, -79.509734)",True,True,6860690725,Luxury Condo Lifestyle In The Heart Of Vaughan,$768000,,https://toronto.craigslist.org/tor/reb/d/maple-luxury-condo-lifestyle-in-the/6860690725.html,9255 Jane St
687ft2,2,2019-04-07 19:10,"(43.645122, -79.523616)",True,True,6860705605,"2 Bed, 2 Bath Bloorvista Condo",$550000,,https://toronto.craigslist.org/tor/reo/d/etobicoke-2-bed-2-bath-bloorvista-condo/6860705605.html,Bloor & Islington
1100ft2,3,2019-04-07 19:07,"(43.718783, -79.40089)",True,True,6860696335,Absolutely Stunning 3 Bedroom Condo Unit In Yonge St,$838800,,https://toronto.craigslist.org/tor/reb/d/toronto-absolutely-stunning-3-bedroom/6860696335.html,7167 Yonge St
,5,2019-04-07 19:07,"(43.781518, -79.325997)",True,True,6860703213,"Helpful home near Huntingwood and Pharmacy approx $1,401,000+",$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-helpful-home-near/6860703213.html,Toronto
,2,2019-04-07 19:00,"(43.781766, -79.381292)",True,True,6860698763,"Heavenly condo near Bayview and Finch approx $733,000+",$0,,https://toronto.craigslist.org/tor/reb/d/north-york-heavenly-condo-near-bayview/6860698763.html,Toronto
1700ft2,2,2019-04-07 18:40,"(43.977988, -79.433819)",True,True,6860685013,Exclusive 2 Bedroom Townhouse Unit In Tree Tops Lane,$749900,,https://toronto.craigslist.org/tor/reb/d/aurora-exclusive-2-bedroom-townhouse/6860685013.html,323 Tree Tops Lane
1100ft2,2,2019-04-07 18:30,"(44.00809, -79.449775)",True,True,6860672771,Open Concept 2 Bedroom Plus Den Condo Suite,$719900,,https://toronto.craigslist.org/tor/reb/d/aurora-open-concept-2-bedroom-plus-den/6860672771.html,180 John West Way
1500ft2,3,2019-04-07 18:25,"(43.87193, -79.328871)",True,True,6860667073,Newly Renovated Condo Townhouse In The Heart Of Unionville,$659000,,https://toronto.craigslist.org/tor/reb/d/unionville-newly-renovated-condo/6860667073.html,646 Village Pkwy
,,2019-04-07 17:50,"(43.6572, -79.3783)",True,True,6860648165,Bright And Spacious Luxury Studio Unit,$495000,,https://toronto.craigslist.org/tor/reb/d/toronto-bright-and-spacious-luxury/6860648165.html,Toronto
,2,2019-04-07 17:45,"(43.84577, -79.332473)",True,True,6860643963,Bright & Spacious 2 Split Bedroom Corner Unit,$488000,,https://toronto.craigslist.org/tor/reb/d/unionville-bright-spacious-2-split/6860643963.html,Toronto
,1,2019-04-07 17:35,"(43.766082, -79.410057)",True,True,6860636037,Come Home To Highly In This Lovely Unit,$469900,,https://toronto.craigslist.org/tor/reb/d/north-york-come-home-to-highly-in-this/6860636037.html,Toronto
,1,2019-04-07 17:29,"(43.84238, -79.425464)",True,True,6860631413,Incredible Investor Opportunity Or End User,$449000,,https://toronto.craigslist.org/tor/reb/d/richmond-hill-incredible-investor/6860631413.html,Richmond Hill
,1,2019-04-07 17:25,"(43.843167, -79.430641)",True,True,6860628674,Brand New 1 Bedroom Plus Den Unit,$429000,,https://toronto.craigslist.org/tor/reb/d/richmond-hill-brand-new-1-bedroom-plus/6860628674.html,Richmond Hill
,2,2019-04-07 17:15,"(44.057662, -79.467735)",True,True,6860619878,Bright Sun Drenched South West Exposure Condo Unit,$419900,,https://toronto.craigslist.org/tor/reb/d/newmarket-bright-sun-drenched-south/6860619878.html,Newmarket Ontario
,2,2019-04-07 16:48,"(43.627445, -79.477068)",True,True,6860598206,Luxurious Bldg By Monarch On The Shore Of Lake Ontario,$890000,,https://toronto.craigslist.org/tor/reb/d/etobicoke-luxurious-bldg-by-monarch-on/6860598206.html,Toronto
,3,2019-04-07 16:42,"(43.8227, -79.3946)",True,True,6860593300,Absolutely Stunning True 3 Bedrooms Unit,$838800,,https://toronto.craigslist.org/tor/reb/d/thornhill-absolutely-stunning-true-3/6860593300.html,Markham
,,2019-04-07 16:41,"(43.71873, -79.47733)",False,True,6839306982,lend $5000 get back $6000 on May 7th 2019,$0,,https://toronto.craigslist.org/tor/reo/d/north-york-lend-5000-get-back-6000-on/6839306982.html,toronto
,1,2019-04-07 16:36,"(43.672163, -79.384906)",True,True,6860588196,1 Bedroom + Den Boasts Numerous Upgrades And Breathtaking Views,$759990,,https://toronto.craigslist.org/tor/reb/d/toronto-1-bedroom-den-boasts-numerous/6860588196.html,Toronto
,2,2019-04-07 16:26,"(43.628947, -79.39442)",True,True,6860579925,1 Bed + 1 Full Den In The Heart Of Entertainment District,$727800,,https://toronto.craigslist.org/tor/reb/d/toronto-1-bed-1-full-den-in-the-heart/6860579925.html,Toronto
