area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
,1,2019-03-30 22:33,"(43.7801, -79.3479)",True,True,6854504219,1 Bedroom Condo for lease- North York *Subway TTC access,$1900,,https://toronto.craigslist.org/tor/apa/d/north-york-1-bedroom-condo-for-lease/6854504219.html,
950ft2,2,2019-03-30 22:24,"(43.656253, -79.383932)",True,True,6854492006,SPACIOUS 950+ SQ FT 1 BED+DEN (OR 2ND BED) 1.5 BATH W/D IN UNIT,$2700,,https://toronto.craigslist.org/tor/apa/d/toronto-spacious-950-sq-ft-1-bedden-or/6854492006.html,Bay St
,3,2019-03-30 22:23,"(43.696805, -79.306805)",True,True,6854500501,"Bright, Newly Renovated Fabulous 3 Bed Det Bungalow",$2200,,https://toronto.craigslist.org/tor/apa/d/east-york-bright-newly-renovated/6854500501.html,317 Chisholm Ave
,1,2019-03-30 22:13,"(43.653668, -79.400271)",True,True,6854496353,Cozy apartment for rent in Kensington Market for rent,$2000,,https://toronto.craigslist.org/tor/apa/d/scarborough-cozy-apartment-for-rent-in/6854496353.html,
,,2019-03-30 21:09,"(43.647645, -79.391362)",True,True,6834328878,Mar31/Apr 1 showing: Renovated apt in Entertainment District,$1450,,https://toronto.craigslist.org/tor/apa/d/toronto-mar31-apr-1-showing-renovated/6834328878.html,304 Adelaide Street West
,3,2019-03-30 20:50,"(43.678022, -79.391)",True,True,6854458358,YONGE & ROXBOROUGH ST. W.,$3500,,https://toronto.craigslist.org/tor/apa/d/toronto-yonge-roxborough-st/6854458358.html,20 ROXBOROUGH ST. W.
,2,2019-03-30 20:47,"(43.7673, -79.4111)",True,True,6846645603,"Menkes Built 2 Bedroom Condo In Gibson North Tower, MAY 1st",$2875,,https://toronto.craigslist.org/tor/apa/d/north-york-menkes-built-2-bedroom-condo/6846645603.html,5168 Yonge St
,1,2019-03-30 20:46,"(43.638544, -79.442482)",True,True,6850042035,WON'T LAST - WEST QUEEN WEST 1-BEDROOM UNIT!!!,$1495,,https://toronto.craigslist.org/tor/apa/d/toronto-wont-last-west-queen-west-1/6850042035.html,
,1,2019-03-30 20:45,"(43.7673, -79.4111)",True,True,6845081245,"Beacon Residences RARE 1 Br+Den, 9Ft Ceilings -North York City Centre",$2295,,https://toronto.craigslist.org/tor/apa/d/north-york-beacon-residences-rare-1/6845081245.html,5180 Yonge St
650ft2,1,2019-03-30 20:38,"(43.641122, -79.38107)",True,True,6851675147,brand new 1bdrm condo - York and Bremner - w balcony & lake views,$2560,6695537424,https://toronto.craigslist.org/tor/apa/d/toronto-brand-new-1bdrm-condo-york-and/6851675147.html,York and Bremner
651ft2,1,2019-03-30 20:38,"(43.641088, -79.381027)",True,True,6851679833,BRAND NEW downtown apartment for rent - 1bdrm + balcony - SEPT 1,$2480,6644904782,https://toronto.craigslist.org/tor/apa/d/toronto-brand-new-downtown-apartment/6851679833.html,Toronto
,2,2019-03-30 20:22,"(43.641638, -79.380944)",True,True,6854434046,2 BDRM Lakeview Furnish Downtown Toronto Yonge Bay York Union Stn,$2769,,https://toronto.craigslist.org/tor/apa/d/toronto-2-bdrm-lakeview-furnish/6854434046.html,12 York Street
,2,2019-03-30 20:17,"(43.761986, -79.40933)",True,True,6850982543,"Minto Built Extra Large Corner Unit With Unobstructed Ne View, 2 Beds",$3100,,https://toronto.craigslist.org/tor/apa/d/north-york-minto-built-extra-large/6850982543.html,33 Sheppard Ave
,1,2019-03-30 20:15,"(43.647645, -79.391362)",True,True,6850527110,1 Bedrm+Den (can be office area) w/Huge Balcony Suite In The Bond Bldg,$2350,,https://toronto.craigslist.org/tor/apa/d/toronto-1-bedrmden-can-be-office-area/6850527110.html,290 Adelaide St W
,1,2019-03-30 19:53,"(43.639578, -79.39785)",True,True,6845081686,1 Bedrm+Den - Approx 600SF+92SF Balcony - Rooftop Patio w/ Bbq&Hot Tub,$1950,,https://toronto.craigslist.org/tor/apa/d/toronto-1-bedrmden-approx-600sf92sf/6845081686.html,38 Dan Leckie Way
,2,2019-03-30 19:45,"(43.674573, -79.432618)",True,True,6854423098,"2 BEDROOM MAIN FLOOR, HUGE CLOSETS, LIVING/DINING, D/W, LAUNDRY",$1800,,https://toronto.craigslist.org/tor/apa/d/toronto-2-bedroom-main-floor-huge/6854423098.html,10 MOUNT ROYAL AV. OSSINGTON & DAVENPORT
,1,2019-03-30 19:41,"(43.674573, -79.432618)",True,True,6854420771,"1 BDRM, OPEN LIV/DIN/KITCHEN, LARGE BDRM, HUGE CLOSETS, LAUNDRY",$1600,,https://toronto.craigslist.org/tor/apa/d/toronto-1-bdrm-open-liv-din-kitchen/6854420771.html,10 MOUNT ROYAL AV. OSSINGTON & DAVENPORT
,1,2019-03-30 19:17,"(43.78306, -79.416301)",True,True,6850635761,"FURNISHED Rarely 1+Den (Separate Corner Rm, can be 2nd Bdrm), On Yonge",$2500,,https://toronto.craigslist.org/tor/apa/d/north-york-furnished-rarely-1den/6850635761.html,5791 Yonge St
3000ft2,5,2019-03-30 19:10,"(43.643024, -79.453542)",True,True,6854401709,STUNNING HOME FOR LEASE IN HIGH PARK!,$4950,,https://toronto.craigslist.org/tor/apa/d/toronto-stunning-home-for-lease-in-high/6854401709.html,141 Indian Rd
699ft2,1,2019-03-30 18:54,"(43.641544, -79.383785)",True,True,6854391087,Beautiful 1 bedroom+ den available for rent,$2500,,https://toronto.craigslist.org/tor/apa/d/toronto-beautiful-1-bedroom-den/6854391087.html,19 Grand Trunk Cres
,1,2019-03-30 18:53,"(43.650646, -79.414388)",True,True,6854390290,Bedroom in Little Italy for April 1st,$1040,,https://toronto.craigslist.org/tor/apa/d/toronto-bedroom-in-little-italy-for/6854390290.html,964 Dundas Street West
899ft2,2,2019-03-30 18:26,"(43.638131, -79.414994)",True,True,6854372081,Beautiful 2 Bed 2 Bath in Liberty Village for Lease,$2950,,https://toronto.craigslist.org/tor/apa/d/toronto-beautiful-2-bed-2-bath-in/6854372081.html,100 Western Battery Rd
,2,2019-03-30 18:15,"(43.674573, -79.432618)",True,True,6854364436,"2 BEDROOM MAIN FLOOR, HUGE CLOSETS, LIVING/DINING, D/W, LAUNDRY",$1800,,https://toronto.craigslist.org/tor/apa/d/toronto-2-bedroom-main-floor-huge/6854364436.html,10 Mount Royal
,1,2019-03-30 18:13,"(43.610097, -79.557865)",True,True,6854363200,★Beautiful 1 Bedroom Condo Next to Sherway★,$2000,,https://toronto.craigslist.org/tor/apa/d/etobicoke-beautiful-1-bedroom-condo/6854363200.html,225 Sherway
1000ft2,1,2019-03-30 18:05,"(43.644481, -79.412999)",True,True,6854357770,Victorian Beauty at the heart of Queen West,$2300,,https://toronto.craigslist.org/tor/apa/d/toronto-victorian-beauty-at-the-heart/6854357770.html,Queen and Strachan
1300ft2,1,2019-03-30 17:56,"(43.671746, -79.379869)",True,True,6854350705,Rosedale Glen.,$3695,,https://toronto.craigslist.org/tor/apa/d/toronto-rosedale-glen/6854350705.html,278 Bloor Street East St Toronto Unit 306
750ft2,2,2019-03-30 17:53,"(43.659399, -79.347512)",True,True,6854348158,Completely Renovated New Loft. Leslieville,$2400,,https://toronto.craigslist.org/tor/apa/d/toronto-completely-renovated-new-loft/6854348158.html,751 Queen St E Toronto Unit Unit 3
,3,2019-03-30 17:41,"(43.654822, -79.421571)",True,True,6854339559,Little Italy Townhouse,$5995,,https://toronto.craigslist.org/tor/apa/d/toronto-little-italy-townhouse/6854339559.html,263 Roxton Rd Toronto
,1,2019-03-30 17:32,"(43.647908, -79.411111)",True,True,6854332939,STUDIO - TRINITY BELLWOODS AREA - QUEEN WEST AND BATHURST,$1295,6165088231,https://toronto.craigslist.org/tor/apa/d/toronto-studio-trinity-bellwoods-area/6854332939.html,Claremont St.
801ft2,2,2019-03-30 17:31,"(43.640732, -79.395663)",True,True,6854332200,Furnished Luxry condo large 1+1Bedroom in Downtown Toronto,$2600,4721277966,https://toronto.craigslist.org/tor/apa/d/toronto-furnished-luxry-condo-large/6854332200.html,25 capreol court
,1,2019-03-30 17:31,"(44.079254, -80.196872)",False,True,6842509807,AVAILABLE APRIL 1 ALL INCLUSIVE!! SHELBURNE,$700,,https://toronto.craigslist.org/tor/apa/d/shelburne-available-april-1-all/6842509807.html,"634 Main St E, Shelburne, ON L0N 1S4, Canada"
,2,2019-03-30 17:14,"(43.6404, -79.3995)",True,True,6850526962,"Luxury Living At Musee In Prime King West, 2 Bedroom, 2 Bathroom Unit",$2700,,https://toronto.craigslist.org/tor/apa/d/toronto-luxury-living-at-musee-in-prime/6850526962.html,525 Adelaide St
,1,2019-03-30 17:13,"(43.638131, -79.414994)",True,True,6845613143,King And Strachan 1 Bedrm+Den (can be 2nd BEDRM) w/ Parking and Locker,$2450,,https://toronto.craigslist.org/tor/apa/d/toronto-king-and-strachan-1-bedrmden/6845613143.html,100 Western Battery Rd
,1,2019-03-30 17:12,"(44.619769, -79.420676)",True,True,6854317625,Charming attic apartment for rent,$850,,https://toronto.craigslist.org/tor/apa/d/orillia-charming-attic-apartment-for/6854317625.html,Orillia
1300ft2,2,2019-03-30 17:02,"(43.65905, -79.428735)",True,True,6850836457,Stunning Loft Conversion in Dufferin Grove,$4250,,https://toronto.craigslist.org/tor/apa/d/toronto-stunning-loft-conversion-in/6850836457.html,110 Hepbourne St
,,2019-03-30 16:39,"(43.651338, -79.377483)",True,True,6854291784,"1 BR Lake View, DT Core, Financial District",$2200,,https://toronto.craigslist.org/tor/apa/d/toronto-1-br-lake-view-dt-core/6854291784.html,33 Lombard St
,1,2019-03-30 16:31,"(43.645485, -79.36428)",True,True,6854284598,Luxury 1 Bedroom + Den Downtown Condo with Parking & Locker,$2475,,https://toronto.craigslist.org/tor/apa/d/toronto-luxury-1-bedroom-den-downtown/6854284598.html,Toronto
,3,2019-03-30 16:31,"(43.73136, -79.398389)",True,True,6833141971,"Walk To Yonge/Law + Subway! Det 3 Bedrm Open Concept Charmer , Parking",$3950,,https://toronto.craigslist.org/tor/apa/d/toronto-walk-to-yonge-law-subway-det-3/6833141971.html,Yonge/Lawrence
1300ft2,2,2019-03-30 16:31,"(43.658804, -79.429368)",True,True,6850770410,"Hepbourne Hall! Renovated  2-Storey Loft-Conversion, Private Terrace!",$4250,,https://toronto.craigslist.org/tor/apa/d/toronto-hepbourne-hall-renovated-2/6850770410.html,Bloor / Dovercourt
,1,2019-03-30 16:30,"(43.706572, -79.398258)",True,True,6834854517,"Minto Quantum Noth Tower! Parking / Locker, Subway Across The Street",$2450,,https://toronto.craigslist.org/tor/apa/d/toronto-minto-quantum-noth-tower/6834854517.html,Yonge/ Eglinton
,4,2019-03-30 16:30,"(43.664033, -79.422581)",True,True,6836361258,"Christie Pits! Gorgeous, Renovated Home,  2 Car Garage! Subway",$5200,,https://toronto.craigslist.org/tor/apa/d/toronto-christie-pits-gorgeous/6836361258.html,Bloor St. W. / Christie St.
679ft2,1,2019-03-30 16:30,"(43.669301, -79.383091)",True,True,6850930183,57 Charles @ Bay Is Luxury Living W/ Great Amenities! ( 1 + Den ),$2490,,https://toronto.craigslist.org/tor/apa/d/toronto-57-charles-bay-is-luxury-living/6850930183.html,Bay Street / Bloor Street West
1610ft2,3,2019-03-30 16:30,"(43.665647, -79.33994)",True,True,6845942476,"Urban Townhouse In Leslieville, 9Ft Concrete Ceilings,  Bbq Hook-Up",$4000,,https://toronto.craigslist.org/tor/apa/d/toronto-urban-townhouse-in-leslieville/6845942476.html,Dundas St E / Carlaw Ave
619ft2,1,2019-03-30 16:30,"(43.669301, -79.383091)",True,True,6850942111,57 Charles @ Bay Is Redefining Luxury Living W/ Great Amenities!,$2440,,https://toronto.craigslist.org/tor/apa/d/toronto-57-charles-bay-is-redefining/6850942111.html,Bay Street / Bloor Street West
,3,2019-03-30 16:30,"(43.646275, -79.408605)",True,True,6850827611,Nero Condos! Beautiful 3 Bedroom Unit Of Open Space W/ Large Terrace,$4000,6834829561,https://toronto.craigslist.org/tor/apa/d/toronto-nero-condos-beautiful-3-bedroom/6850827611.html,Dundas/Manning
,2,2019-03-30 16:30,"(43.6635, -79.411889)",True,True,6850750379,"Annex! Luxurious 2 Bdrm Executive Style Rental, Main Flr Unit",$3450,,https://toronto.craigslist.org/tor/apa/d/toronto-annex-luxurious-2-bdrm/6850750379.html,S. Of Bloor/W. Of Bathurst
,2,2019-03-30 16:20,"(43.767593, -79.376105)",True,True,6854275687,FURN. OPEN CONCEPT 2 BDRM MAIN FLOOR HOUSE –Free parking,$2899,,https://toronto.craigslist.org/tor/apa/d/north-york-furn-open-concept-2-bdrm/6854275687.html,North York
,1,2019-03-30 15:31,"(43.650297, -79.446231)",True,True,6854233487,1 bdrm basement apmt - Roncesvalles Village,$1200,,https://toronto.craigslist.org/tor/apa/d/toronto-1-bdrm-basement-apmt/6854233487.html,Roncesvalles Village/High Park
1200ft2,1,2019-03-30 15:27,"(43.6748, -79.4839)",True,True,6844916353,Short Term Furnished Stunning I BR on two Levels Stockyards for rent,$2000,,https://toronto.craigslist.org/tor/apa/d/york-short-term-furnished-stunning-br/6844916353.html,Mulock Ave
850ft2,1,2019-03-30 15:26,"(43.732365, -79.435693)",True,True,6835461872,Large 1 Bedroom Basement Huge Windows For Rent Bathurst and Wilson,$1500,6275884285,https://toronto.craigslist.org/tor/apa/d/north-york-large-1-bedroom-basement/6835461872.html,Hotspur Road
395ft2,,2019-03-30 15:26,"(43.7223, -79.4504)",True,True,6837506790,Awesome Studio Suite for rent Brand New  Yorkdale Condominiums,$1550,6804894090,https://toronto.craigslist.org/tor/apa/d/north-york-awesome-studio-suite-for/6837506790.html,160 Flemington Road
,2,2019-03-30 15:22,"(43.626979, -79.478642)",True,True,6854212602,Stunning Condo at Parklawn & Lakeshore Blvd.,$3395,,https://toronto.craigslist.org/tor/apa/d/etobicoke-stunning-condo-at-parklawn/6854212602.html,16 Brookers Lane 3506
1500ft2,2,2019-03-30 15:21,"(43.639737, -79.379371)",True,True,6854212981,Great Condo at Bay/Queens Quay,$3980,,https://toronto.craigslist.org/tor/apa/d/toronto-great-condo-at-bay-queens-quay/6854212981.html,65 Harbour Sq 3506
,3,2019-03-30 15:20,"(43.67028, -79.381684)",True,True,6854223032,Charming Condo at Yonge/Bloor,$3800,,https://toronto.craigslist.org/tor/apa/d/toronto-charming-condo-at-yonge-bloor/6854223032.html,99 Hayden St 905
,2,2019-03-30 15:20,"(43.626284, -79.477441)",True,True,6854222910,Beautiful Condo at Lake Shore Blwd W/Park Lawn Rd,$4400,,https://toronto.craigslist.org/tor/apa/d/etobicoke-beautiful-condo-at-lake-shore/6854222910.html,110 Marine Parade Dr 1002
,2,2019-03-30 15:17,"(43.648855, -79.37535)",True,True,6854220592,Nice Condo at King St And Yonge St,$3700,,https://toronto.craigslist.org/tor/apa/d/toronto-nice-condo-at-king-st-and-yonge/6854220592.html,22 Leader Lane 302
