area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
850ft2,1,2019-04-15 06:49,"(43.678426, -79.30025)",True,True,6866701962,Sleek And Stylish 1+1 Bedroom Suite W/Open Concept Floor Plan,$699900,,https://toronto.craigslist.org/tor/reb/d/toronto-sleek-and-stylish-11-bedroom/6866701962.html,580 Kingston Rd
,3,2019-04-15 06:33,"(43.766293, -79.256662)",True,True,6866698535,Beautiful Renovated Home In High Demanded Area,$689900,,https://toronto.craigslist.org/tor/reb/d/scarborough-beautiful-renovated-home-in/6866698535.html,7 Hathway Dr
,3,2019-04-15 06:30,"(43.723349, -79.259429)",True,True,6866699379,Spacious Well Kept Bungalow With Separate Entry To Finished Bsmt,$699900,,https://toronto.craigslist.org/tor/reb/d/scarborough-spacious-well-kept-bungalow/6866699379.html,107 Brenda Cres
,3,2019-04-15 06:18,"(43.767562, -79.210593)",True,True,6866697462,Lovingly Maintained Home In The Heart Of Family Friendly Neighbourhood,$625000,,https://toronto.craigslist.org/tor/reb/d/scarborough-lovingly-maintained-home-in/6866697462.html,86 Northfield Rd
,,2019-04-15 02:59,"(49.201712, -122.91329)",True,True,6866668868,"Last chance for 1BDs at Ovation, Vancouver - 90% Sold",$432900,,https://toronto.craigslist.org/tor/reo/d/new-westminster-last-chance-for-1bds-at/6866668868.html,"Vancouver, British Columbia"
,4,2019-04-14 22:43,"(42.815326, -78.829465)",False,True,6866602492,"DUPLEX   LACKAWANNA, NY     $129,000",$129000,,https://toronto.craigslist.org/tor/reo/d/buffalo-duplex-lackawanna-ny/6866602492.html,"29 Elkhart Street, Lackawanna, NY"
,4,2019-04-14 22:19,"(43.811344, -79.231803)",True,True,6866591867,"Affordable 4 +1 Bedrooms, 3 Bathrooms Freehold Townhouse",$565000,,https://toronto.craigslist.org/tor/reb/d/scarborough-affordable-4-1-bedrooms-3/6866591867.html,108 Bradstone Sq
1300ft2,3,2019-04-14 22:16,"(43.77739, -79.146529)",True,True,6866590683,"Spacious Townhouse Features 3 Bdrm, Large Living Rm With High Ceilings",$529000,,https://toronto.craigslist.org/tor/reb/d/scarborough-spacious-townhouse-features/6866590683.html,121 Centennial Rd
1300ft2,2,2019-04-14 21:55,"(43.82466, -79.27237)",True,True,6866580745,Large Condo Comes With Best Layout Of Split Two Bdrms,$439900,,https://toronto.craigslist.org/tor/reb/d/scarborough-large-condo-comes-with-best/6866580745.html,80 Alton Towers Circ
650ft2,1,2019-04-14 21:50,"(43.772893, -79.258611)",True,True,6866578219,Stunning 1 Bedroom + Den Located In A High Demand Area,$429900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-1-bedroom-den/6866578219.html,60 Brian Harrison Way
750ft2,2,2019-04-14 21:42,"(43.803945, -79.228589)",True,True,6866567157,"Well Maintained, Ground Floor Unit With 2 Bedrooms",$375000,,https://toronto.craigslist.org/tor/reb/d/scarborough-well-maintained-ground/6866567157.html,200 Mclevin Ave
1300ft2,3,2019-04-14 21:39,"(43.795684, -79.312839)",True,True,6866572451,"Updated 3 Bdr Unit, Newly Renovated Floor Throughout",$399000,,https://toronto.craigslist.org/tor/reb/d/scarborough-updated-3-bdr-unit-newly/6866572451.html,10 Stonehill Crt
1100ft2,2,2019-04-14 21:35,"(43.78575, -79.289425)",True,True,6866570491,"Spacious 2 Bdrms Condo, High Floor W/Unobstructed East Toronto View!",$389900,,https://toronto.craigslist.org/tor/reb/d/scarborough-spacious-2-bdrms-condo-high/6866570491.html,2365 Kennedy Rd
950ft2,1,2019-04-14 21:25,"(43.810332, -79.219996)",True,True,6866565560,Lovingly Maintained One Bedroom Penthouse Condo,$319999,,https://toronto.craigslist.org/tor/reb/d/scarborough-lovingly-maintained-one/6866565560.html,480 Mclevin Ave
950ft2,2,2019-04-14 21:22,"(43.805555, -79.220859)",True,True,6866563936,Spacious 2 Bdrm Condo Located In A Highly Desirable Neighborhood,$299900,,https://toronto.craigslist.org/tor/reb/d/scarborough-spacious-2-bdrm-condo/6866563936.html,99 Blackwell Ave
,5,2019-04-14 20:57,"(43.694627, -79.418964)",True,True,6866549848,"Fabulous 5 Bedroom, Lower Forest Hill Village Home With 2 Car Garage",$3295000,,https://toronto.craigslist.org/tor/reb/d/toronto-fabulous-5-bedroom-lower-forest/6866549848.html,203 Glenayr Rd
,3,2019-04-14 19:39,"(43.836774, -79.011009)",True,True,6862800475,HOUSE-----For Sale.For Rent.will Trade..,$0,6802386707,https://toronto.craigslist.org/tor/reo/d/ajax-house-for-salefor-rentwill-trade/6862800475.html,"Holiday, florida"
,4,2019-04-14 19:31,"(43.700697, -79.296097)",True,True,6866496560,★★★Oceanview Lot with Approved Plans Palmas Del Mar Puerto Rico★★★,$598000,,https://toronto.craigslist.org/tor/reo/d/east-york-oceanview-lot-with-approved/6866496560.html,"Humacao, Puerto Rico"
,5,2019-04-14 19:18,"(43.81063, -79.286398)",True,True,6866488061,"VeryNice home near Midland and Steeles approx $1,192,000+",$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-verynice-home-near-midland/6866488061.html,Toronto
,2,2019-04-14 19:12,"(43.782757, -79.283123)",True,True,6866483879,"Valuable condo near Kennedy and Sheppard approx $404,000+",$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-valuable-condo-near-kennedy/6866483879.html,Toronto
2750ft2,4,2019-04-14 18:52,"(43.698961, -79.350284)",True,True,6866470273,Sun Filled Spacious Open Concept Main Floor W/Soaring Loft Ceilings,$2799000,,https://toronto.craigslist.org/tor/reb/d/east-york-sun-filled-spacious-open/6866470273.html,355 Millwood Rd
,,2019-04-14 17:52,"(43.779759, -79.13264)",True,True,6866427216,STUNNING 3 bd at 98 Bridgend St,$769900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-bd-at-98/6866427216.html,
,,2019-04-14 17:30,"(43.805991, -79.31188)",True,True,6866410428,STUNNING 4 + 2 bd at 50 Staley Terr,$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-4-2-bd-at-50/6866410428.html,
,,2019-04-14 17:29,"(43.666635, -79.324602)",True,True,6866409803,STUNNING 3 bd at 3 Kerr Rd 32,$749900,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-3-bd-at-3-kerr-rd-32/6866409803.html,
,,2019-04-14 17:28,"(43.753224, -79.190921)",True,True,6866408624,STUNNING 3 + 1 bd at 49 Galloway Rd,$749900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-1-bd-at-49/6866408624.html,
,,2019-04-14 17:26,"(43.800616, -79.262425)",True,True,6866407647,STUNNING 3 bd at 11 Rooksnest Tr,$710000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-bd-at-11/6866407647.html,
,,2019-04-14 17:18,"(43.800227, -79.314999)",True,True,6866401275,STUNNING 3 + 2 bd at 2327 Bridletowne Circ,$689000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-2-bd-at-2327/6866401275.html,
525ft2,1,2019-04-14 17:17,"(43.589177, -79.64657)",False,True,6866390149,⚷⚷⚷⚷⚷⚷ MISSISSAUGA- PRE-CONSTRUCTION ⚷⚷,$437000,,https://toronto.craigslist.org/tor/reb/d/mississauga-mississauga-pre/6866390149.html,"4141 Living Arts Dr Mississauga, ON"
1625ft2,3,2019-04-14 17:13,"(43.351751, -80.327754)",False,True,6866382880,CAMBRIDGE- PRE-CONSTRUCTION FREEHOLD TOWNHOMES FROM $400's,$471000,,https://toronto.craigslist.org/tor/reb/d/cambridge-cambridge-pre-construction/6866382880.html,"130 Cedar St Cambridge, ON"
,,2019-04-14 16:51,"(43.768506, -79.210222)",True,True,6866380302,STUNNING 3 bd at 3 Sundance Cres,$649900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-bd-at-3-sundance/6866380302.html,
550ft2,1,2019-04-14 16:49,"(43.642947, -79.375727)",True,True,6866378059,Enjoy This Harbour Plaza Residence Built By Menkes!,$2500,,https://toronto.craigslist.org/tor/reo/d/toronto-enjoy-this-harbour-plaza/6866378059.html,"88 Harbour St, Toronto"
,,2019-04-14 16:25,"(43.760632, -79.262541)",True,True,6866358966,STUNNING 3 + 2bd at 123 Birkdale Rd,$639000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-2bd-at-123/6866358966.html,
,,2019-04-14 16:25,"(43.737233, -79.246034)",True,True,6866358231,STUNNING 4 +  bd at 2758 Eglinton Ave E,$599900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-4-bd-at-2758/6866358231.html,
,,2019-04-14 16:24,"(43.757219, -79.200646)",True,True,6866357469,STUNNING 3+ 1 bd at 63 Greenvale Terr 17,$535000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-3-1-bd-at-63/6866357469.html,
,,2019-04-14 15:58,"(43.692988, -79.263339)",True,True,6866336242,STUNNING 4 bd at 144 Harding Blvd,$499999,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-4-bd-at-144/6866336242.html,
,,2019-04-14 15:57,"(43.773785, -79.244629)",True,True,6866335652,STUNNING 1 +  bd at 60 Brian Harrison Way,$438000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-1-bd-at-60-brian/6866335652.html,
,,2019-04-14 15:56,"(43.807968, -79.265377)",True,True,6866334564,STUNNING 2 bd at 5039 Finch Ave,$429999,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-2-bd-at-5039-finch/6866334564.html,
,,2019-04-14 15:41,"(43.725234, -79.252199)",True,True,6866321574,STUNNING 1 + 1 bd at 5 Greystone Walk Dr,$339000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-1-1-bd-at-5/6866321574.html,
,,2019-04-14 15:40,"(43.767007, -79.18403)",True,True,6866320881,STUNNING 2 bd at 90 Ling Rd,$309900,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-2-bd-at-90-ling-rd/6866320881.html,
,,2019-04-14 15:39,"(43.666412, -79.326092)",True,True,6866320188,STUNNING 2 bd at 107 Greenwood Ave Upper,$3200,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-2-bd-at-107-greenwood/6866320188.html,
,,2019-04-14 15:38,"(43.68215, -79.325873)",True,True,6866319468,STUNNING 1 bd at 210 Parkmount Rd Bsmt,$2000,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-1-bd-at-210-parkmount/6866319468.html,
,,2019-04-14 15:36,"(43.772909, -79.254738)",True,True,6866317820,STUNNING 1 + 1 bd 25 Town Centre Crt,$2000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-1-1-bd-25-town/6866317820.html,
